coords,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
"(-164.25, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12015235520392012
"(-164.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9019963854969575
"(-164.25, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47796014464487935
"(-164.25, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8863990548616221
"(-164.25, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996602018526771
"(-164.25, 66.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17058427121895003
"(-164.25, 67.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7134075400452119
"(-164.25, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.25, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876323129012885
"(-163.75, 54.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7380935877358706
"(-163.75, 55.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06719958348093992
"(-163.75, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4037230878920207
"(-163.75, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783618318343116
"(-163.75, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8708843019024382
"(-163.75, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3991209470637009
"(-163.75, 66.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09263238220643938
"(-163.75, 67.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49760825526266206
"(-163.75, 67.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997859701683279
"(-163.75, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.75, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964124235728273
"(-163.75, 69.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12364586747444592
"(-163.25, 54.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33175420374166487
"(-163.25, 55.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13267172091924495
"(-163.25, 59.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3286686168593385
"(-163.25, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-163.25, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11494441877058982
"(-163.25, 64.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06443689774715435
